"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國小","石碇區","永定國小","永定里、中民里、
光明里","豐田里(6-7鄰)
【永定、石碇國小
自由學區】","開放為全市自由學
區。","42"
"115","國小","石碇區","和平國小","隆盛里、豐林里","深坑區土庫里【和
平、石碇、深坑區
深坑國小自由學
區】","開放為全市自由學
區。","42"
"115","國小","石碇區","雲海國小","格頭里、永安里","","開放為全市自由學
區。","42"
"115","國小","坪林區","坪林國小","全區","","開放為全市自由
學區。","43"
"115","國小","烏來區","烏來國中小國小部","烏來里、忠治里、
孝義里、信賢里","","開放為全市自由
學區。","44"
"115","國小","瑞芳區","瑞柑國小","柑坪里","新峰里【瑞柑、瑞
芳國小自由學區】","開放為全市自由
學區。","45"
"115","國小","瑞芳區","瑞芳國小","龍興里、龍川里、
爪峰里、東和里、
龍潭里(9-13鄰)","一、新峰里【瑞
芳、瑞柑國小
自由學區】
二、龍鎮里(1-4
鄰)、龍安里
(10-11鄰)
【瑞芳、義方
國小自由學
區】
三、碩仁里【瑞
芳、猴硐國小
自由學區】
四、傑魚里(5-7
鄰)【瑞芳、
瑞亭國小自
由學區】","","45"
"115","國小","瑞芳區","義方國小","龍山里、龍潭里(1
-8鄰)、龍鎮里
(5-15鄰)、龍
安里(1-9鄰)","龍鎮里(1-4
鄰)、龍安里(10
-11鄰)【義方、
瑞芳國小自由學
區】","開放為全市自由
學區。","45"
"115","國小","瑞芳區","九份國小","福住里、崇文里、
基山里、頌德里、
永慶里","","開放為全市自由
學區。","45"
"115","國小","瑞芳區","瓜山國小","新山里、銅山里、
石山里、瓜山里","","開放為全市自由
學區。","45"
"115","國小","瑞芳區","濂洞國小","濂新里、濂洞里","","開放為全市自由
學區。","45"
"115","國小","瑞芳區","鼻頭國小","鼻頭里、南雅里","","開放為全市自由
調整備註
學區。","45"
"115","國小","瑞芳區","瑞濱國小","海濱里、瑞濱里、
深澳里","","開放為全市自由
學區。","46"
"115","國小","瑞芳區","吉慶國小","吉慶里、吉安里、
上天里(9-12鄰)","上天里(7-8鄰)
【吉慶、瑞亭國小
自由學區】","","46"
"115","國小","瑞芳區","瑞亭國小","傑魚里(1-4、8
-10鄰)、上天
里(1-6鄰)","一、上天里(7-8
鄰)【瑞亭、
吉慶國小自
由學區】
二、傑魚里(5-7
鄰)【瑞亭、
瑞芳國小自
由學區】","◎開放為全市自
由學區。","46"
"115","國小","雙溪區","雙溪國小","共和里、魚行里、
新基里、平林里、
雙溪里、泰平里、
三港里、牡丹里(1
-6、23-26鄰)","","開放為全市自由
學區。","47"
"115","國小","雙溪區","上林國小","上林里","","開放為全市自由
學區。","47"
"115","國小","雙溪區","柑林國小","外柑里、長源里","","開放為全市自由
學區。","47"
"115","國小","雙溪區","牡丹國小","牡丹里(7-22、
27-38鄰)、三
貂里","","開放為全市自由
學區。","47"
"115","國小","貢寮區","貢寮國小","貢寮里、雙玉里、
龍崗里、龍門里、
吉林里","","開放為全市自由
學區。","48"
"115","國小","貢寮區","和美國小","和美里","","開放為全市自由
學區。","48"
"115","國小","貢寮區","澳底國小","真理里、仁里里、
美豐里","","開放為全市自由
學區。","48"
"115","國小","貢寮區","福隆國小","福隆里","","開放為全市自由
學區。","48"
"115","國小","貢寮區","福連國小","福連里","","開放為全市自由
學區。","48"
"115","國小","平溪區","十分國小","望古里(3-8
鄰)、南山里、平
湖里、新寮里、十
分里","","開放為全市自由
學區。","49"
"115","國小","平溪區","平溪國小","石底里、平溪里、
嶺腳里、東勢里、
望古里(1-2鄰)","","開放為全市自由
學區。","49"
"115","國小","平溪區","菁桐國小","薯榔里、菁桐里、
白石里","","開放為全市自由
學區。","49"
"115","國小","淡水區","淡水國小","清文里、協元里、
長庚里、草東里、
永吉里、北投里
(12鄰)、中興
里(6-7、11
-17鄰)","一、新義里(1
-7鄰)
【淡水、
文化、新
興國小自
由學區】
二、中興里(1
-5、8-
10、18鄰)
【淡水、
鄧公國小
自由學
區】
三、北投里(5
-8鄰)
【淡水、
水源國小
自由學
區】
四、水碓里、
正德里、
北新里
(1、10
-16鄰)
【淡水、
文化國小
自由學
區】
五、北新里(2
-9、17
-20鄰)
【淡水、
文化、鄧
公國小自
由學區】
六、北投里(13
-15鄰)
【淡水、
水源、鄧
公國小自
由學區】
七、北投里
(4、9-
11、20-
22鄰)【淡
水、新市
國小自由
學區】","調整備註","50"
"115","國小","淡水區","鄧公國小","幸福里、鄧公
里、學府里","一、竿蓁里【鄧
公、竹
圍、坪頂
國小自由
學區】
二、北新里(2
-9、17
-20鄰)
【鄧公、
淡水、文
化國小自
由學區】
三、中興里(1
-5、8-
10、18鄰)
【鄧公、
淡水國小
自由學
區】
四、樹興里(9
-12鄰)
【鄧公、
坪頂國小
自由學
區】
五、北投里(13
-15鄰)
【鄧公、
淡水、水
源國小自
由學區】","調整備註","51"
"115","國小","淡水區","新興國小","新義里(8-14
鄰)、新興里、
新春里、新民
里(3-12鄰)","一、新義里(1
-7鄰)
【新興、
淡水、文
化國小自
由學區】
二、新民里(1
-2鄰)
【新興、
文化國小
自由學
區】
三、崁頂里(3
鄰)【新
興、新市
國小自由
學區】","因應115年7月1
日前實施之新北
市114年轄里鄰
編組調整案，原設
籍崁頂里3鄰(公
司田溪以南)之學
生，調整為新春里
13鄰後，至120
學年度調整過渡
期間可就讀新
市、新興國小。","52"
"115","國小","淡水區","文化國小","民安里、新生
里、文化里","一、水碓里、
正德里、
北新里
(1、10
-16鄰)
【文化、
淡水國小
自由學
區】
二、北新里(2
-9、17
-20鄰)
【文化、
淡水、鄧
公國小自
由學區】
三、新義里(1
-7鄰)
【文化、
淡水、新
興國小自
由學區】
四、新民里(1
-2鄰)
【文化、
新興國小
自由學
區】","調整備註","52"
"115","國小","淡水區","育英國小","埤島里(3-13
鄰)、新崁里
(15、19、21鄰)","一、新市里
(16-23
鄰)、埤
島里(1
-2鄰)
【育英、
新市國小
自由學
區】
二、忠山里(1
-2、7-8
鄰)【育
英、忠
山、興仁
國小自由
學區】
三、義山里(1
-3、9-
11鄰)【育
英、興仁
國小自由
學區】","◎崁頂里第1、
4、5、13鄰
於111年1月
3日通過鄰編
組調整，第1
鄰劃分為第1
鄰及第16
鄰；第4鄰劃
分為第4鄰
及第17鄰；
第5鄰劃分
為第5鄰、第
18鄰及第19
鄰；第13鄰
一、因應115年
7月1日前
實施之新北
市114年轄
里鄰編組調
整案，原設
籍崁頂里6
鄰之學生，
調整為新崁
里15-17鄰
後，至120
學年度調整
過渡期間可
就讀淡海、
調整備註
劃分為第13
鄰及第20
鄰。
◎崁頂里10鄰
(新市六路一
段以南)於崁
頂里分里調
整前，變更為
育英國小、淡
海國小自由
學區，作為過
渡方案。
育英國小。
二、原設籍崁頂
里17鄰之學
生，調整為
新崁里15鄰
後，至120
學年度調整
過渡期間可
就讀新市、
育英國小。","53"
"115","國小","淡水區","興仁國小","興仁里、賢孝
里(4-7鄰)、
義山里(4-
8、12-19
鄰)、蕃薯里
(7-10鄰)","一、忠山里(1
-2、7-8
鄰)【興
仁、忠
山、育英
國小自由
學區】
二、蕃薯里(5
-6鄰)
【興仁、
中泰國小
自由學
區】
三、義山里(1
-3、9-
11鄰)【興
仁、育英
國小自由
學區】","","54"
"115","國小","淡水區","新市國小","北投里(1-
3、16-19
鄰)、新市里
(1-10鄰)","一、新市里
(16-23
鄰)、埤
島里(1
-2鄰)
【新市、
育英國小
自由學
區】
二、北投里
(4、9-
11、20-
22鄰)
【新市、
淡水國小
自由學
區】
三、新市里
(11-15鄰)
【新市、淡
海國小
自由學
區】","一、102學年度招
生。
二、崁頂里第1、
4、5、13鄰
一、因應115年
7月1日前
實施之新北
市114年轄
調整備註
於111年1月
3日通過鄰編
組調整，第1
鄰劃分為第1
鄰及第16
鄰；第4鄰劃
分為第4鄰
及第17鄰；
第5鄰劃分
為第5鄰、第
18鄰及第19
鄰；第13鄰
劃分為第13
鄰及第20
鄰。
里鄰編組調
整案原設籍
崁頂里17鄰
之學生，調
整為新崁里
15鄰後，至
120學年度
調整過渡期
間可就讀新
市、育英國
小。
二、原設籍崁頂
里3鄰(公司
田溪以南)
之學生，調
整為新春里
13鄰後，至
120學年度
調整過渡期
間可就讀新
市、新興國
小。
調整備註","54"
"115","國小","淡水區","水源國小","水源里、忠寮
里(1-7、12
-13鄰)","一、北投里5
-8鄰【水
源、淡水
國小自由
學區】
二、樹興里(1
-2鄰)
【水源、
坪頂國小
自由學
區】
三、忠寮里(8
-9鄰)
【水源、
忠山國小
自由學
區】
四、北投里(13
-15鄰)
【水源、
淡水、鄧
公國小自
由學區】","開放為全市自
由學區。","56"
"115","國小","淡水區","坪頂國小","坪頂里、樹興
里(3-8鄰)","一、竿蓁里【坪
頂、鄧
公、竹圍
國小自由
學區】
二、樹興里(1
-2鄰)
【坪頂、
水源國小
自由學
區】
三、樹興里(9
-12鄰)
【坪頂、
鄧公國小
自由學
區】","114學年度起開放
為全市自由學區。
調整備註","56"
"115","國小","淡水區","屯山國小","屯山里、賢孝
里(1-3、8、
10-14鄰)","一、中和里(1
鄰)【屯
山、中泰
國小自由
學區】
二、三芝區後
厝里【屯
山、三芝
區三芝國
小自由學
區】","開放為全市自由
學區。","57"
"115","國小","淡水區","中泰國小","中和里(2-11
鄰)、賢孝里
(9鄰)、蕃
薯里(1-4鄰)","一、中和里(1
鄰)【中
泰、屯山
國小自由
學區】
二、蕃薯里(5
-6鄰)
【中泰、
興仁國小
自由學
區】","開放為全市自
由學區。","57"
"115","國小","淡水區","天生國小","油車里、沙崙
里(8鄰除
外)、大庄里","沙崙里8鄰
【天生、淡海
國小自由學
區】","","57"
"115","國小","淡水區","竹圍國小","民生里、竹圍
里、民權里、
八勢里","一、竿蓁里【竹
圍、鄧
公、坪頂
國小自由
學區】
二、福德里【竹圍
國小、竹圍國
小自強分
校、臺北市關
渡國小自由
學區】","調整備註","57"
"115","國小","淡水區","淡海國小","新崁里(1-14鄰、
16-18、20鄰)、
崁頂里(1-17鄰)","一、新市里
(11-15鄰)
【淡海、新市
國小自由
學區】
二、沙崙里8
鄰【淡海、
天生國小
自由學區】","◎112學年度開
始招生。
◎崁頂里10鄰
(新市六路一
段以南)於崁
頂里分里調
整前，變更為
育英國小、淡
海國小自由
學區，作為過
渡方案。
一、因應115年
7月1日前
實施之新北
市114年轄
里鄰編組調
整案，原設
籍崁頂里6
鄰之學生，
調整為新崁
里15-17鄰
後，至120
學年度調整
過渡期間可
就讀淡海、
育英國小。
二、原設籍崁頂
里7鄰之學
生，調整為
新崁里15鄰
後，至120
學年度調整
過渡期間可
就讀淡海國
小。","58"
"115","國小","石門區","石門國小","石門里、尖鹿里、
山溪里","","開放為全市自由
學區。","59"
"115","國小","石門區","乾華國小","茂林里、草里里、
乾華里","","開放為全市自由
學區。","59"
"115","國小","三芝區","三芝國小","八賢里、埔頭里、
埔坪里、古庄里、
新庄里、茂長里、
錫板里、福德里","一、後厝里【三
芝、淡水區屯
山國小自由
學區】
二、圓山里(1-5
鄰)【三芝、
興華國小自
由學區】","","60"
"115","國小","三芝區","興華國小","興華里、店子里","圓山里(1-5鄰)
【興華、三芝國小
自由學區】","開放為全市自由
學區。","60"
"115","國小","三芝區","橫山國小","橫山里、圓山里
(6、7鄰)","","開放為全市自由
學區。","60"
"115","國小","三重區","三重國小","崇德里、奕壽里、
介壽里、三安里、
龍門里、秀江里(1
-3、8-13鄰)、
長安里、大德里、
開元里、尚德里(1
-5、16、21-29
鄰)、安慶里(1
-6鄰)","一、安慶里有兄姐
在修德國小
就讀者，可選
擇修德國小
就讀。
二、雙園里【三
重、正義國小
自由學區】
三、秀江里(4-
7、14、15鄰)
【三重、光榮
國小自由學
區】
四、瑞德里【三
重、光榮國小
自由學區】","","61"
"115","國小","三重區","興穀國小","五谷里、谷王里、
德厚里","中興里、頂崁里
(即中興北街臨
近新莊區化成路)
【興穀、新莊區頭
前國小自由學區】","開放為三重區全
區自由學區。","61"
"115","國小","三重區","正義國小","正安里、正義里、
正德里、重新里、
光華里、中央里、
文化里、錦安里、
錦通里、長生里、
大園里","一、雙園里【正
義、三重國小
自由學區】
二、中山里、自強
里【正義、修
德國小自由
學區】","","61"
"115","國小","三重區","二重國小","大有里、博愛里、
二重里、田心里、
福田里、光田里、
光陽里、田安里
(中華路以西部
分16-24、33-
42鄰)","","調整備註","61"
"115","國小","三重區","重陽國小","田中里、三民里、
六福里、永發里、
田安里(中華路以
東部分1-15、25
-32鄰)","一、培德里(17
-24鄰)【重
陽、厚德國小
自由學區】
二、錦田里【重
陽、修德國小
自由學區】","","62"
"115","國小","三重區","厚德國小","福安里、厚德里、
維德里、尚德里(6
-15、17-20
鄰)、信安里、永
德里、立德里、
永煇里、六合里(1
-10鄰)、培德
里(1-16鄰)","一、培德里(17
-24鄰)【厚
德、重陽國小
自由學區】
二、六合里(11
-25鄰)【厚
德、修德國小
自由學區】，
六合里(1-
10鄰)有兄
姊在修德國
小就讀者，可
選擇修德國
小就讀。
三、永吉里【厚
德、永福國小
自由學區】
四、永盛里、永
安里【厚德、
永福、碧華國
小自由學區】
五、福隆里【碧
華、永福、厚
德國小自由
學區】","","62"
"115","國小","三重區","永福國小","永福里、永清里、
永順里、永豐里","一、永吉里【永
福、厚德國小
自由學區】
二、永盛里、永安
里【永福、
厚德、碧華國
小自由學區】
三、福隆里【碧
華、永福、厚
德國小自由
學區】
四、福樂里【碧
華、永福國小
自由學區】","調整備註","62"
"115","國小","三重區","碧華國小","碧華里、慈化里、
慈祐里、富福里、
慈生里、慈惠里、
慈愛里、溪美里、
慈福里、仁華里","一、永盛里、永安
里、福隆里
【碧華、厚
德、永福國小
自由學區】
二、福樂里【碧
華、永福國小
自由學區】","","63"
"115","國小","三重區","光榮國小","龍濱里、錦江里、
長江里、長福里、
承德里、順德里、
萬壽里、長泰里、
長元里","一、瑞德里【光
榮、三重國小
自由學區】
二、秀江里(4-
7、14、15鄰)
【光榮、三重
國小自由學
區】","","63"
"115","國小","三重區","五華國小","富貴里、富華里、
五華里、仁忠里、
五常里、五福里、
五順里","","","63"
"115","國小","三重區","修德國小","幸福里、重陽里、
國隆里、民生里、
安慶里(7-16鄰)","一、中山里、自強
里【修德、正
義國小自由
學區】
二、錦田里【修
德、重陽國小
自由學區】
三、六合里(11
-25鄰)【修
德、厚德國小
自由學區】，
六合里(1-
10鄰)有兄
姊在修德國
小就讀者，可
選擇修德國
小就讀。
四、過田里【修
德、集美國小
自由學區】
五、安慶里有兄姊
在修德國小
就讀者，可選
擇修德國小
就讀。","調整備註","63"
"115","國小","三重區","光興國小","仁德里、光榮里、
光輝里、福星里、
福利里、永興里、
清和里、忠孝里、
仁義里、同慶里","光正里、中正里
【集美、三光、光
興國小自由學區】","◎111學年度起
取消三重區
全區自由學
區，倘有兄姐
現就讀光興
國小，得提出
申請隨兄姐
就讀。","64"
"115","國小","三重區","三光國小","同安里、大同里、
平和里、中民里、
大安里、吉利里、
光明里(1-3鄰)","一、菜寮里、永春
里【三光、集
美國小自由學
區】
二、光正里、中正
里【集美、三
光、光興國小
自由學區】","開放為三重區全
區自由學區。
調整備註","64"
"115","國小","三重區","集美國小","成功里、福德里、
福民里、光明里(4
-30鄰)、重明
里、福祉里","一、過田里【集
美、修德國小
自由學區】
二、菜寮里、永春
里【集美、三
光國小自由
學區】
三、光正里、中正
里【集美、三
光、光興國小
自由學區】","","65"
"115","國小","蘆洲區","成功國小","成功里、忠義里、
長安里、延平里、
九芎里、永康里、
永德里","一、永安里【成
功、蘆洲國小
自由學區】
二、永樂里(20
-27鄰)、正
義里(7、15
-17鄰)【成
功、忠義國小
自由學區】","","66"
"115","國小","蘆洲區","蘆洲國小","中原里(9-24
鄰)、光明里(15
鄰除外)、保和
里、仁復里、得勝
里、光華里、中華
里、中路里、得仁
里、樹德里、民和
里","一、永安里【蘆
洲、成功國小
自由學區】
二、溪墘里(13
-15鄰)【蘆
洲、鷺江國小
自由學區】
三、保佑里、光明
里(15鄰)【蘆
洲、忠義國小
自由學區】","","66"
"115","國小","蘆洲區","鷺江國小","樓厝里、玉清里、
信義里、福安里、
仁德里、仁義里、
恆德里、鷺江里、
溪墘里(1-12鄰)","溪墘里(13-15
鄰)【鷺江、蘆洲
國小自由學區】","","66"
"115","國小","蘆洲區","仁愛國小","保新里(1-8
鄰)、水河里、水
湳里、忠孝里、仁
愛里、復興里","","","66"
"115","國小","蘆洲區","忠義國小","南港里、永樂里(1
-19鄰)、正義
里(除7、15
-17鄰)、中原
里(1-8、25-29
鄰)、保新里(9
-12鄰)","一、保佑里、光明
里(15鄰)【忠
義、蘆洲國小
自由學區】
二、永樂里(20
-27鄰)、正
義里(7、15
-17鄰)【忠
義、成功國小
自由學區】","調整備註","66"
"115","國小","新莊區","新莊國小","立人里、思源里
(1、4、20鄰)、
文衡里(1、4-8、
10-16鄰)、文
聖里(2-17鄰)、
興漢里、榮和里、
文德里、文明里、
恆安里、立德里(1
-8鄰)","一、中美里、思賢
里(2鄰)、
思源里(3、19
鄰)【新莊、
思賢國小自
由學區】
二、文衡里(2-
3、9鄰)【新
莊、豐年國小
自由學區】
三、文聖里(1、
18-29鄰)
【新莊、新泰
國小自由學
區】","","68"
"115","國小","新莊區","中港國小","中泰里、立志里、
立基里、立廷里
(16、19-40鄰
除外)、中宏里、
中全里、立功里、
中和里、中港里(8
-10鄰)、中誠
里(1-4、6-15
鄰)","中港里(11-14、
21-25鄰)、中
誠里(5鄰)【中
港、榮富國小自由
學區】","","68"
"115","國小","新莊區","榮富國小","中信里、中平里、
中港里(1-7、15
-20、26-28鄰)","一、中港里(11
-14、21-25
鄰、中誠里5
鄰)【榮富、
中港國小自
由學區】
二、中隆里(1-
20鄰)、立
廷里(16、19
-40鄰)【榮
富、中信國小
自由學區】","調整備註","68"
"115","國小","新莊區","中信國小","中原里、中隆里
(21-27鄰)","中隆里(1-20
鄰)、立廷里(16、
19-40鄰)【中
信、榮富國小自由
學區】","◎111學年度起
取消新莊區
全區自由學
區，倘有兄姐
現就讀中信
國小，得提出
申請隨兄姐
就讀。","69"
"115","國小","新莊區","思賢國小","仁義里、自信里、
思源里(2、5-
18、21-22鄰)、
思賢里(2鄰除
外)、仁愛里、自
強里、自立里、中
華里","中美里、思賢里(2
鄰)、思源里(3、
19鄰)【思賢、新
莊國小自由學區】","","69"
"115","國小","新莊區","昌隆國小","昌明里(1-4、9
-11、14、16-17
鄰)、昌信里(1
-3、7鄰)、和
平里1-14鄰)、
信義里、昌隆里、
幸福里","昌明里(5-8、
12、13、15、18
鄰)、昌信里(4
-6鄰)、和平里
15-21鄰)【昌
隆、昌平國小自由
學區】","","69"
"115","國小","新莊區","昌平國小","昌平里(8-21
鄰)、昌信里(8
-17鄰)","一、昌明里(5-
8、12、13、
15、18鄰)、
昌信里(4-6
鄰)【昌平、
昌隆國小自
由學區】
二、昌平里(1-7
鄰)【昌平、
興化國小自
由學區】
三、和平里15-
21鄰)【昌
平、昌隆國小
自由學區】","◎104學年度前
(含104學年
度)開放為新
莊區全區自
由學區。
◎105學年度排
除新莊、國
泰、新泰、裕
民、丹鳳、民
安、豐年、光
調整備註
華及興化9
校學區，不納
入昌平國小
自由學區範
圍。
◎106學年度排
除中港、思
賢、榮富、中
信4校，不納
入昌平國小
自由學區範
圍。
◎107學年度排
除昌隆、頭前
國小學區，不
再納入昌平
國小自由學
區範圍。
◎有兄姊現就
讀昌平國小
且其弟妹欲
隨兄姐就讀
則不受上述
限制。","69"
"115","國小","新莊區","興化國小","福基里(10-17
鄰)、福興里","一、昌平里(1-7
鄰)【興化、
昌平國小自
由學區】
二、五股區興珍里
(33-37鄰)
【興化、五股
區更寮國小
自由學區】","","70"
"115","國小","新莊區","頭前國小","化成里、頭前里、
福基里(1-9鄰)","三重區中興里、頂
崁里(即中興北街
臨近本區化成路)
【頭前、三重區興
穀國小自由學區】","調整備註","70"
"115","國小","新莊區","國泰國小","忠孝里(1-6、
11、12、14、15、
18、20、22、25、
26鄰)、國泰里
(10鄰)、海山
里(19-24鄰)、
福營里、營盤里","一、泰山區貴賢里
(9-14鄰)
【國泰、泰山
區明志國小
自由學區】
二、泰山區義仁里
(30-39鄰)
【新泰、國
泰、泰山區義
學國小自由
學區】","開放為新莊區全
區自由學區。","71"
"115","國小","新莊區","新泰國小","立德里(9-17
鄰)、全泰里、立
言里、立泰里、忠
孝里(7-10、13、
16、17、19、21、
23、24、27-29
鄰)","一、文聖里(1、
18-29鄰)
【新泰、新莊
國小自由學
區】
二、泰山區義仁里
(30-39鄰)
【新泰、國
泰、泰山區義
學國小自由
學區】","","71"
"115","國小","新莊區","裕民國小","四維里(16-18
鄰)、裕民里、萬
安里、龍安里、南
港里、富國里","一、龍鳳里、龍福
里【裕民、丹
鳳國小自由
學區】。
二、富民里【裕
民、民安、丹
鳳國小自由
學區】
三、四維里(19
-22鄰)【裕
民、光華國小
自由學區】
四、三龍里16鄰
【裕民、樹林
區三多國小
之自由學區】","◎111學年度
起，三龍里
16鄰調整為
裕民國小與
樹林區三多
國小之自由
學區。
調整備註","71"
"115","國小","新莊區","丹鳳國小","丹鳳里、合鳳里、
祥鳳里、雙鳳里","一、龍鳳里、龍福
里【丹鳳、裕
民國小自由
學區】
二、富民里【丹
鳳、民安、裕
民國小自由
學區】
三、泰山區貴和里
(33-38鄰)
【丹鳳、泰山
區明志國小
國小自由學
區】","","72"
"115","國小","新莊區","民安國小","民安里(1-16、
19-22鄰)、四
維里(1-15鄰)、
成德里(1-4、9
-11鄰)、後港
里、八德里、民有
里(1、10-14、
16、17鄰)、後
德里、建福里、民
全里、民本里、西
盛里(1-5、19、
22鄰)、建安里
(1-32鄰)","一、瓊林里(13
-20鄰)、
建安里(33、
34鄰)【民
安、豐年國小
自由學區】
二、成德里(5-
8、12-23
鄰)、民有里
(2-9、15、
18-20鄰)、
民安里(28、
29鄰)【民
安、光華國小
自由學區】
三、富民里【民
安、丹鳳、裕
民國小自由
學區】","調整備註","72"
"115","國小","新莊區","豐年國小","全安里、瓊林里(1
-12鄰)、海山
里(1-18鄰)、
國泰里(1-9、11
-16鄰)、豐年
里、泰豐里","一、瓊林里(13
-20鄰)、建
安里(33、34
鄰)【豐年、
民安國小自
由學區】
二、文衡里(2、3、
9鄰)【豐年、
新莊國小自
由學區】","","73"
"115","國小","新莊區","光華國小","光華里、光明里、
民安里(17、18、
23-27、30-33
鄰)、光和里、光
正里、光榮里、西
盛里(6-11、13、
20、21、23、24
鄰)","一、成德里(5-
8、12-23
鄰)、民有里
(2-9、15、
18-20鄰)、
民安里(28、
29鄰)【光
華、民安國小
自由學區】
二、西盛里(12
鄰)【光華、
樹林區文林
國小自由學
區】
三、四維里(19
-22鄰)【光
華、裕民國小
自由學區】","","73"
"115","國小","泰山區","泰山國小","大科里(1-6、9
-12鄰)、
黎明里(2-14、
16-17)、山腳里、
福泰里、楓樹里、
福興里(1-18鄰)","一、全興里(1-7
鄰)、同興里
(1-12鄰)
【泰山、義
學、同榮國小
自由學區】
二、同榮里(1-
16、30鄰)【泰
山、同榮國小
自由學區】
三、福興里(19
-25鄰)【泰
山、義學國小
自由學區】
四、大科里(7-8
鄰)【泰山、
林口區麗園
國小自由學
區】
五、黎明里1、15
鄰【泰山、五
股區德音國
小自由學區】","","74"
"115","國小","泰山區","明志國小","明志里、新明里、
泰友里、貴子里、
貴和里(1-32、
39-42鄰)、貴
賢里(1-8、15
-27鄰)、大科
里(13-16鄰)","一、義仁里(21
-29鄰)【明
志、義學國小
自由學區】
二、貴和里(33
-38鄰)【明
志、新莊區丹
鳳國小自由
學區】
三、貴賢里(9-
14鄰)【明
志、新莊區國
泰國小自由
學區】","","74"
"115","國小","泰山區","同榮國小","同榮里(17-29
鄰)、義學里","一、全興里(1-7
鄰)、同興里
(1-12鄰)
【同榮、義
學、泰山國小
自由學區】
二、同榮里(1-
16、30鄰)【同
榮、泰山國小
自由學區】
三、同興里(13
-24鄰)【同
榮、義學國小
自由學區】","","75"
"115","國小","泰山區","義學國小","義仁里(1-20
鄰)、全興里(8
-25鄰)","一、全興里(1-7
鄰)、同興里
(1-12鄰)
【義學、泰
山、同榮國小
自由學區】
二、福興里(19
-25鄰)【義
學、泰山國小
自由學區】
三、同興里(13
-24鄰)【義
學、同榮國小
自由學區】
四、義仁里(21
-29鄰)【義
學、明志國小
自由學區】
五、義仁里(30
-39鄰)【義
學、新莊區新
泰、國泰國小
自由學區】","","75"
"115","國小","五股區","五股國小","五龍里、陸一里、
五股里、民義里、
六福里、五福里、
更寮里中興路三
段所屬","一、德音里(1-
22鄰)【五
股、德音國小
自由學區】
二、成功里、成泰
里、芳洲里
【五股、成州
國小自由學
區】","因應115年7月1
日前實施之新北
市114年轄里鄰
編組調整案，五
股、成州國小自由
學區調整為成功
里、成泰里、芳洲
里。","77"
"115","國小","五股區","德音國小","德音里(23-30
鄰)、水碓里、德
泰里、福德里、貿
商里","一、德音里(1-
22鄰)【德
音、五股國小
自由學區】
二、黎明里1、15
鄰【泰山、德
音國小自由
學區】","","77"
"115","國小","五股區","成州國小","觀音里、集福里、
集賢里、成州里、
成德里","成功里、成泰里、
芳洲里【成州、五
股國小自由學區】","因應115年7月1
日前實施之新北
市114年轄里鄰
編組調整案，五
股、成州國小自由
學區調整為成功
里、成泰里、芳洲
里。","77"
"115","國小","五股區","更寮國小","更寮里、興珍里
(1-32鄰、38-40
鄰)","興珍里(33-37
鄰)【更寮、新莊
區興化國小自由
學區】","開放全市自由學
區。","77"
"115","國小","八里區","八里國小","頂罟里(8-13
鄰)、舊城里、訊
塘里、荖阡里","下罟里【八里、長
坑國小自由學區】","","78"
"115","國小","八里區","長坑國小","長坑里","下罟里【長坑、八
里國小自由學區】","開放為全市自由
學區。","78"
"115","國小","八里區","米倉國小","龍源里、米倉里(1
-20鄰)","","開放為全市自由
學區。","78"
"115","國小","八里區","大崁國小","米倉里(21-24
鄰)、大崁里、埤
頭里、頂罟里(1
-7鄰)","","","78"
"115","國小","林口區","林口國小","東林里、林口里、
中湖里、湖北里、
菁湖里、西林里(1
-10、12-13鄰、
26鄰)","一、瑞平里(1-4
鄰)、太平里
(1-5鄰)
【林口、瑞平
國小自由學
區】
二、西林里27-
35鄰【麗園、
林口、東湖國
小自由學區】","","79"
"115","國小","林口區","麗園國小","東勢里、麗園里","一、泰山區大科
里(7-8鄰)
【麗園、泰山
區泰山國小
自由學區】
二、西林里27-
35鄰【麗園、
林口、東湖國
小自由學區】
三、仁愛里
(13-28鄰)
【麗園、麗林
國小自由學
區】","","79"
"115","國小","林口區","麗林國小","麗林里、仁愛里
(13-28鄰除外)","仁愛里(13-28鄰)
【麗林、麗園國小
自由學區】","","79"
"115","國小","林口區","南勢國小","南勢里(1~16
鄰)、新林里(1-3
鄰)、頂福里(1
-4、13-14、16
-17、19-20鄰)","一、頂福里(7、
18鄰)【南
勢、嘉寶國小
自由學區】
二、力行里4-25
鄰【南勢、新
林國小自由
學區】
三、力行里1-3
鄰【新林、南
勢、東湖國小
自由學區】","因應115年7月1
日前實施之新北
市114年轄里鄰
編組調整案，南勢
國小之基本學區
調整為南勢里
(1-16鄰)、新
林里(1-3鄰)、頂
福里(1-4、13
-14、16-17、19
-20鄰)，自由
學區調整為頂福
里(7、18鄰)、
力行里1-25鄰。","79"
"115","國小","林口區","興福國小","下福里、嘉寶里(6
-7鄰)、頂福里
(8-12、15鄰)","","開放為全市自由
學區。","80"
"115","國小","林口區","嘉寶國小","嘉寶里(6、7鄰
除外)、頂福里(5
-6鄰)","頂福里(7、18鄰)
【嘉寶、南勢國小
自由學區】","開放為全市自由
學區。","80"
