"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國小","樹林區","桃子腳國中小國小部","南園里(2、5、6、
8-52鄰)、柑園
里(8、13-37鄰)","柑園里(7鄰)、
南園里(1、3、4、
7鄰)【桃子腳國
民中小學國小
部、柑園國小自由
學區】","調整備註","16"
"115","國小","鶯歌區","鶯歌國小","永昌里(13-19
鄰)、同慶里、南
靖里(9、10、11、
16、20鄰除外)、
中鶯里、北鶯里(1
-6、8、12-20
鄰)、建德里、東
鶯里、尖山里(1
-4、9、11-15
鄰)","一、北鶯里(7、9、
10、11鄰)
【鶯歌、建國
國小自由學
區】
二、南靖里9、10、
11、16、20
鄰【鶯歌、三
峽區三峽國
小自由學區】
三、三峽文化部落
龍恩里30、
31鄰自由學
區【鶯歌、建
國、三峽區龍
埔、北大、三
峽國小自由
學區】
四、尖山里5、10
鄰【鶯歌、二
橋國小自由
學區】","◎114學年度
起，尖山里
(5、10鄰)為
【鶯歌、二橋
國小自由學
區】","18"
"115","國小","鶯歌區","鳳鳴國小","鳳鳴里、鳳福里、
鳳祥里(23-33
鄰)","一、大湖里【鳳
鳴、中湖國小
自由學區】
二、鳳祥里(9-22
鄰)【鳳鳴、
永吉國小自
由學區】
三、桃園市八德區
大發里(6【福
德1路177巷
除外】、19-21
鄰)【鳳鳴國
小、桃園市八
德區大安國
小自由學區】
四、桃園市八德區
大明里
(16-19鄰)
【鳳鳴、桃園
市八德區建
國、大安自由
學區】","調整備註","18"
"115","國小","鶯歌區","二橋國小","二橋里、二甲里、
尖山里(6、7、8、
16鄰)","尖山里5、10鄰
【鶯歌、二橋國小
自由學區】","◎114學年度
起，尖山里
(5、10鄰)為
【鶯歌、二橋
國小自由學
區】","19"
"115","國小","鶯歌區","中湖國小","東湖里、中湖里(4
-25鄰)","一、大湖里【鳳
鳴、中湖國小
自由學區】
二、中湖里(1-3
鄰)【中湖、
建國、昌福國
小自由學區】","","19"
"115","國小","鶯歌區","建國國小","建國里、西鶯里、
南鶯里","一、中湖里(1-3
鄰)【建國、
中湖、昌福國
小自由學區】
二、北鶯里(7、9、
10、11鄰)
【建國、鶯歌
國小自由學
區】
三、三峽文化部落
龍恩里30、
31鄰自由學
區【建國、鶯
歌、三峽區龍
埔、北大、三
峽國小自由
學區】","調整備註","19"
"115","國小","鶯歌區","永吉國小","永吉里、鳳祥里(1
-8鄰)","一、鳳祥里(9-22
鄰)【永吉、
鳳鳴國小自
由學區】
二、桃園市八德
區大發里6
鄰福德一路
177巷【永吉
國小、桃園市
八德區大安
國小自由學
區】
三、桃園市八德
區大發里7-8
鄰【永吉、桃
園市八德區
大安國小自
由學區】","◎103學年度起
桃園市八德
區大發里6
鄰福德一路
177巷為永
吉、鳳鳴、桃
園市八德區
大安國小自
由學區。
◎103學年度桃
園市八德區
大發里7-8
鄰為永吉、桃
園市八德區
大安國小自
由學區。","20"
"115","國小","鶯歌區","昌福國小","永昌里(1-12、
20-22鄰)、中
湖里(26-27鄰)","中湖里(1-3鄰)
【昌福、建國、中
湖國小自由學區】","","20"
"115","國小","三峽區","龍埔國小","龍學里、龍恩里
(1、11-14鄰)、
龍埔里(1-8鄰)","三峽文化部落龍
恩里30、31鄰自
由學區【龍埔、北
大、三峽、鶯歌區
鶯歌、建國國小自
由學區】","◎龍恩里
(2-10、
15-29鄰)、
龍埔里(9-20
鄰)105學年
度起調整為
北大國小學
區。","21"
"115","國小","三峽區","北大國小","龍埔里(9-36
鄰)、龍恩里
(2-10、15-29
鄰)、
永舘里(1、22-25
鄰)","三峽文化部落龍
恩里30、31鄰自
由學區【龍埔、北
大、三峽、鶯歌區
鶯歌、建國國小自
由學區】","105學年度起開始
招生。","21"
"115","國小","三峽區","三峽國小","永舘里(2-21
鄰)、秀川里、鳶
山里、三峽里","一、三峽文化部落
龍恩里30、
31鄰自由學
區【三峽、北
大、龍埔、鶯
歌區鶯歌、建
國國小自由
學區】
二、鶯歌區南靖里
(9、10、11、
16、20鄰)
【三峽、鶯歌
國小自由學
區】","◎永舘里(1、
22-25鄰)及
龍埔里(21
-36鄰)105
學年度起調
整為北大國
小學區。","21"
"115","國小","三峽區","中園國小","中埔里、弘道里、
八張里、大埔里(1
-5鄰)","","","21"
"115","國小","三峽區","大埔國小","大埔里(6-22
鄰)、金圳里(1
-6鄰)、二鬮里","","開放為全市自由
學區。
調整備註","21"
"115","國小","三峽區","成福國小","溪東里、成福里(1
-8、12-15鄰)","溪南里、溪北里
【成福、介壽國小
自由學區】","","22"
"115","國小","三峽區","大成國小","竹崙里、成福里(9
-11、16鄰)","","開放為全市自由
學區。","22"
"115","國小","三峽區","民義國小","嘉添里、添福里","中正里正義街
【民義、介壽國小
自由學區】","開放為全市自由
學區。","22"
"115","國小","三峽區","建安國小","安坑里","","105學年度起開放
為全市自由學區。","22"
"115","國小","三峽區","有木國小","有木里","","開放為全市自由
學區。","22"
"115","國小","三峽區","五寮國小","五寮里","","開放為全市自由
學區。","22"
"115","國小","三峽區","安溪國小","礁溪里(17-37
鄰)、安溪里","","","22"
"115","國小","三峽區","介壽國小","礁溪里(1-16
鄰)、介壽里、中
正里","溪南里、溪北里
【介壽、成福國小
自由學區】
中正里正義街
【民義、介壽國小
自由學區】","","22"
