"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新北市新莊區","海山里","1716","1125498","656","409","202","832","734.07","111.92"
"新北市新莊區","全安里","1333","972517","730","451","228","883","897.30","122.99"
"新北市新莊區","文衡里","717","545849","761","486","227","948","868.06","114.02"
"新北市新莊區","興漢里","1036","732224","707","447","233","883","875.89","123.93"
"新北市新莊區","榮和里","1118","921003","824","468","216","986","1072.95","130.25"
"新北市新莊區","文德里","555","433663","781","482","201","954","1315.95","168.42"
"新北市新莊區","文明里","545","417272","766","420","201","901","1221.07","159.48"
"新北市新莊區","中港里","1961","1332782","680","456","217","817","794.08","116.84"
"新北市新莊區","頭前里","3900","4646519","1191","683","301","1457","1633.57","137.11"
"新北市新莊區","丹鳳里","2707","1804596","667","460","225","846","733.37","110.01"
"新北市新莊區","西盛里","4309","3057850","710","480","243","918","808.84","113.98"
"新北市新莊區","瓊林里","1383","858614","621","403","202","729","868.42","139.88"
"新北市新莊區","營盤里","615","366943","597","378","189","780","663.10","111.14"
"新北市新莊區","後港里","2346","1409243","601","395","200","746","696.22","115.90"
"新北市新莊區","國泰里","437","266665","610","399","177","734","758.62","124.32"
"新北市新莊區","立人里","686","651096","949","533","241","1148","1339.62","141.14"
"新北市新莊區","恆安里","1353","971381","718","443","205","913","847.71","118.07"
"新北市新莊區","思源里","1658","1062723","641","422","196","809","735.27","114.71"
"新北市新莊區","化成里","1380","1173667","850","470","218","1044","1173.24","137.95"
"新北市新莊區","福基里","2098","2259735","1077","640","271","1333","1345.25","124.90"
"新北市新莊區","思賢里","1281","894487","698","428","207","845","861.76","123.41"
"新北市新莊區","中美里","1857","1302519","701","447","205","878","859.53","122.54"
"新北市新莊區","中和里","1390","902815","650","392","196","757","860.74","132.52"
"新北市新莊區","中泰里","1236","710742","575","402","197","719","651.56","113.31"
"新北市新莊區","立言里","1607","1081230","673","403","196","777","1045.89","155.45"
"新北市新莊區","立功里","974","549659","564","365","191","726","651.80","115.50"
"新北市新莊區","立德里","818","617510","755","457","210","948","1015.75","134.55"
"新北市新莊區","豐年里","1068","599061","561","369","196","714","643.28","114.68"
"新北市新莊區","忠孝里","1804","1380843","765","463","226","943","926.65","121.06"
"新北市新莊區","立志里","1120","671325","599","409","210","743","666.65","111.22"
"新北市新莊區","中誠里","605","386557","639","396","191","749","824.71","129.08"
"新北市新莊區","自立里","1500","925719","617","412","211","755","729.42","118.19"
"新北市新莊區","自強里","597","299316","501","343","179","613","603.96","120.46"
"新北市新莊區","幸福里","1218","676702","556","364","179","673","713.74","128.47"
"新北市新莊區","仁愛里","709","382533","540","390","195","653","582.95","108.05"
"新北市新莊區","信義里","1575","1010454","642","406","198","834","749.01","116.75"
"新北市新莊區","龍鳳里","3596","3019564","840","552","253","1105","1033.11","123.03"
"新北市新莊區","民安里","1829","1133049","619","420","220","791","662.75","106.98"
"新北市新莊區","光華里","2094","1244811","594","408","208","756","678.16","114.08"
"新北市新莊區","富國里","668","369413","553","411","224","691","557.89","100.88"
"新北市新莊區","裕民里","1847","1126878","610","391","201","732","813.38","133.32"
"新北市新莊區","南港里","1619","945992","584","410","206","711","642.11","109.89"
"新北市新莊區","萬安里","1097","593545","541","382","200","699","551.45","101.92"
"新北市新莊區","八德里","888","463617","522","361","177","649","588.66","112.75"
"新北市新莊區","民本里","797","392029","492","381","197","651","486.65","98.94"
"新北市新莊區","光榮里","1249","761474","610","413","208","768","670.48","109.98"
"新北市新莊區","光明里","1438","866827","603","412","215","758","642.70","106.62"
"新北市新莊區","合鳳里","1271","656911","517","357","170","633","648.30","125.43"
"新北市新莊區","雙鳳里","3831","3270265","854","546","262","1086","993.88","116.43"
"新北市新莊區","和平里","1509","919297","609","396","202","758","688.22","112.97"
"新北市新莊區","自信里","746","481239","645","391","190","775","898.04","139.21"
"新北市新莊區","全泰里","1629","1264535","776","480","221","967","975.49","125.66"
"新北市新莊區","立泰里","1608","1161904","723","451","225","910","884.45","122.40"
"新北市新莊區","立基里","2025","1628846","804","509","226","994","1082.01","134.52"
"新北市新莊區","中宏里","1174","767470","654","446","220","847","710.66","108.71"
"新北市新莊區","中全里","990","547775","553","405","207","698","563.07","101.76"
"新北市新莊區","中華里","941","744088","791","510","232","998","906.92","114.69"
"新北市新莊區","中隆里","1730","1512659","874","505","237","1054","1183.41","135.34"
"新北市新莊區","中原里","4669","4534236","971","552","251","1181","1397.40","143.89"
"新北市新莊區","中信里","2673","1953134","731","475","231","921","877.58","120.10"
"新北市新莊區","仁義里","1015","594043","585","354","181","709","860.59","147.04"
"新北市新莊區","建福里","793","416320","525","384","205","680","535.10","101.93"
"新北市新莊區","四維里","1258","662642","527","371","190","660","546.05","103.67"
"新北市新莊區","文聖里","1174","921308","785","496","242","973","975.38","124.29"
"新北市新莊區","福營里","821","552210","673","390","205","746","1083.08","161.03"
"新北市新莊區","後德里","1046","736015","704","449","220","872","909.01","129.19"
"新北市新莊區","建安里","2186","1409306","645","438","222","808","698.59","108.36"
"新北市新莊區","龍安里","645","349370","542","375","199","641","673.17","124.28"
"新北市新莊區","昌平里","3264","3732969","1144","671","301","1383","2813.58","246.01"
"新北市新莊區","昌明里","1083","743423","686","434","202","833","810.52","118.07"
"新北市新莊區","成德里","1459","826647","567","409","204","714","606.37","107.02"
"新北市新莊區","福興里","2001","1317632","658","429","209","794","793.55","120.51"
"新北市新莊區","昌信里","1250","1028665","823","514","228","1084","947.12","115.09"
"新北市新莊區","昌隆里","1447","1112093","769","515","230","972","882.18","114.79"
"新北市新莊區","中平里","3074","2667226","868","545","249","1113","1071.69","123.51"
"新北市新莊區","立廷里","4160","4195159","1008","638","298","1301","1471.66","145.93"
"新北市新莊區","泰豐里","740","466182","630","415","202","821","703.53","111.67"
"新北市新莊區","富民里","1217","678187","557","392","217","724","547.45","98.24"
"新北市新莊區","龍福里","695","422424","608","429","205","818","612.51","100.77"
"新北市新莊區","祥鳳里","747","436609","584","410","191","736","630.53","107.88"
"新北市新莊區","民全里","1212","734683","606","398","189","776","685.87","113.15"
"新北市新莊區","民有里","1250","748928","599","408","214","760","655.99","109.49"
"新北市新莊區","光正里","1313","826300","629","404","207","774","796.47","126.56"
"新北市新莊區","光和里","758","387382","511","382","196","643","524.57","102.64"
"新北市新莊區","其他","10","9451","945","408","297","498","1723.35","182.34"
"新北市新莊區","合計","127748","93736047","734","453","221","897","1039.44","141.66"
"新北市林口區","東林里","1165","669527","575","397","218","667","673.46","117.19"
"新北市林口區","林口里","1634","1049167","642","386","201","774","901.89","140.46"
"新北市林口區","西林里","3570","3558357","997","535","260","1162","1548.31","155.34"
"新北市林口區","湖北里","435","305832","703","419","202","844","986.52","140.32"
"新北市林口區","菁湖里","1412","1314339","931","537","244","1131","1328.49","142.72"
"新北市林口區","湖南里","8957","10705487","1195","717","318","1523","1532.92","128.26"
"新北市林口區","南勢里","9851","13792090","1400","866","377","1780","2221.33","158.66"
"新北市林口區","頂福里","294","160877","547","382","199","659","645.85","118.03"
"新北市林口區","下福里","379","213629","564","394","203","666","816.91","144.93"
"新北市林口區","嘉寶里","247","129988","526","386","184","627","592.26","112.54"
"新北市林口區","瑞平里","223","119200","535","360","195","655","678.99","127.03"
"新北市林口區","太平里","447","252712","565","384","212","691","637.47","112.76"
"新北市林口區","中湖里","1539","1244600","809","524","265","1024","993.90","122.90"
"新北市林口區","東勢里","2333","1835732","787","488","232","939","1034.32","131.45"
