"鄉鎮市區","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新北市新莊區","海山里","1704","1426434","837","596","360","1078","774.93","92.57"
"新北市新莊區","全安里","1367","1239898","907","640","386","1136","948.05","104.52"
"新北市新莊區","文衡里","699","687763","984","672","386","1246","1139.22","115.78"
"新北市新莊區","興漢里","1071","952881","890","633","384","1081","936.22","105.23"
"新北市新莊區","榮和里","897","735413","820","587","352","966","940.29","114.69"
"新北市新莊區","文德里","544","502920","924","658","381","1149","971.09","105.04"
"新北市新莊區","文明里","546","512351","938","618","368","1086","1108.75","118.16"
"新北市新莊區","中港里","1990","1731076","870","626","378","1086","822.58","94.56"
"新北市新莊區","頭前里","3055","3899806","1277","793","430","1537","1873.26","146.75"
"新北市新莊區","丹鳳里","2635","2193403","832","640","386","1054","728.59","87.53"
"新北市新莊區","西盛里","3947","3457090","876","671","400","1102","793.09","90.55"
"新北市新莊區","瓊林里","1588","1250551","788","590","373","962","734.18","93.23"
"新北市新莊區","營盤里","778","607361","781","549","344","951","815.35","104.44"
"新北市新莊區","後港里","2285","1803947","789","585","366","969","745.85","94.47"
"新北市新莊區","國泰里","488","374992","768","552","327","875","919.03","119.60"
"新北市新莊區","立人里","740","811842","1097","708","402","1377","1185.18","108.03"
"新北市新莊區","恆安里","1351","1209885","896","641","379","1154","828.26","92.49"
"新北市新莊區","思源里","1671","1371799","821","603","382","1020","809.53","98.61"
"新北市新莊區","化成里","1238","1117723","903","622","378","1078","1019.03","112.87"
"新北市新莊區","福基里","1636","1869537","1143","720","403","1412","1344.01","117.61"
"新北市新莊區","思賢里","1290","1147069","889","635","383","1119","848.14","95.38"
"新北市新莊區","中美里","1705","1411512","828","601","369","1030","766.24","92.56"
"新北市新莊區","中和里","1376","1156210","840","577","369","976","1154.35","137.38"
"新北市新莊區","中泰里","1267","919242","726","540","343","888","951.45","131.14"
"新北市新莊區","立言里","1656","1407968","850","613","370","1054","776.65","91.35"
"新北市新莊區","立功里","984","721142","733","576","362","930","625.38","85.33"
"新北市新莊區","立德里","833","766227","920","631","369","1147","1031.18","112.10"
"新北市新莊區","豐年里","1119","851064","761","563","372","904","703.00","92.43"
"新北市新莊區","忠孝里","1527","1300980","852","616","363","1066","847.70","99.50"
"新北市新莊區","立志里","1163","917836","789","576","367","957","725.59","91.94"
"新北市新莊區","中誠里","639","513211","803","576","369","984","770.05","95.88"
"新北市新莊區","自立里","1512","1198333","793","587","365","990","703.11","88.71"
"新北市新莊區","自強里","653","418909","642","523","332","792","501.90","78.24"
"新北市新莊區","幸福里","1215","861497","709","543","365","887","631.19","89.02"
"新北市新莊區","仁愛里","705","488481","693","543","364","830","571.16","82.43"
"新北市新莊區","信義里","1615","1305036","808","599","377","1005","712.52","88.18"
"新北市新莊區","龍鳳里","3155","3064544","971","720","426","1266","870.03","89.57"
"新北市新莊區","民安里","1854","1504282","811","610","387","1035","672.05","82.83"
"新北市新莊區","光華里","2064","1632847","791","597","386","984","706.05","89.25"
"新北市新莊區","富國里","711","499117","702","558","379","900","515.60","73.45"
"新北市新莊區","裕民里","1943","1497467","771","571","373","907","740.08","96.03"
"新北市新莊區","南港里","1648","1256619","763","578","372","926","707.94","92.84"
"新北市新莊區","萬安里","1153","803366","697","552","361","872","546.67","78.46"
"新北市新莊區","八德里","918","666388","726","567","386","865","647.35","89.18"
"新北市新莊區","民本里","808","529713","656","532","358","847","491.40","74.96"
"新北市新莊區","光榮里","1282","982537","766","578","374","979","638.66","83.33"
"新北市新莊區","光明里","1393","1059413","761","585","374","955","623.37","81.97"
"新北市新莊區","合鳳里","1255","881753","703","542","354","868","605.68","86.21"
"新北市新莊區","雙鳳里","3576","3566185","997","721","425","1258","1104.83","110.79"
"新北市新莊區","和平里","1529","1163992","761","581","378","976","617.58","81.12"
"新北市新莊區","自信里","725","617323","851","585","359","1001","1025.96","120.49"
"新北市新莊區","全泰里","1691","1623381","960","668","399","1215","950.66","99.03"
"新北市新莊區","立泰里","1534","1338053","872","636","385","1120","795.03","91.15"
"新北市新莊區","立基里","2023","2010891","994","697","411","1213","1028.90","103.51"
"新北市新莊區","中宏里","1169","951178","814","612","379","1028","727.57","89.42"
"新北市新莊區","中全里","1055","743084","704","538","349","868","592.36","84.10"
"新北市新莊區","中華里","912","912968","1001","696","407","1223","999.15","99.81"
"新北市新莊區","中隆里","1443","1364664","946","665","400","1199","902.47","95.43"
"新北市新莊區","中原里","3689","3893342","1055","718","410","1316","1113.11","105.47"
"新北市新莊區","中信里","2655","2337849","881","664","402","1106","766.84","87.09"
"新北市新莊區","仁義里","1038","727150","701","550","353","896","571.06","81.52"
"新北市新莊區","建福里","822","560780","682","549","367","854","562.62","82.47"
"新北市新莊區","四維里","1251","886119","708","565","363","855","595.58","84.08"
"新北市新莊區","文聖里","1167","1136960","974","690","400","1217","983.51","100.95"
"新北市新莊區","福營里","859","699528","814","562","339","940","982.21","120.61"
"新北市新莊區","後德里","1058","931043","880","653","399","1028","877.92","99.76"
"新北市新莊區","建安里","2107","1778036","844","626","378","1081","753.04","89.24"
"新北市新莊區","龍安里","667","485005","727","547","343","892","659.38","90.68"
"新北市新莊區","昌平里","2520","2995396","1189","778","437","1443","1321.87","111.21"
"新北市新莊區","昌明里","1131","952907","843","570","357","1034","880.51","104.51"
"新北市新莊區","成德里","1446","1072542","742","580","366","926","597.16","80.51"
"新北市新莊區","福興里","1862","1569152","843","624","370","1042","804.70","95.49"
"新北市新莊區","昌信里","1195","1142836","956","699","425","1240","837.23","87.54"
"新北市新莊區","昌隆里","1422","1328325","934","683","393","1234","851.47","91.15"
"新北市新莊區","中平里","2766","2857923","1033","752","425","1312","1024.01","99.11"
"新北市新莊區","立廷里","3786","4366660","1153","835","454","1519","1077.33","93.41"
"新北市新莊區","泰豐里","718","591330","824","598","372","1000","781.40","94.88"
