"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國中","林口區","林口國中","西林(15-17、21-25、27、
33、36-37鄰)、
仁愛(13-28鄰)、
湖南(10-23、31-33、43-
48鄰)、南勢(30-31鄰)、
東勢(40-42鄰)等里","一、太平里(6-15鄰)(林口國
中、八里國中、佳林國中自
由學區)
二、湖南(30鄰)、西林(34-35
鄰)等里(林口國中、佳林國
中自由學區)
三、下福、嘉寶、頂福等里(林
口國中、佳林國中、崇林國
中、南勢國中自由學區)","新北市114
年轄里編組
調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.29","25"
"115","國中","林口區","崇林國中","麗林、麗園、東勢(1-39
鄰)、南勢(22-29鄰)、
仁愛(1-12、29-30鄰)等
里","一、下福、嘉寶、頂福等里(林
口國中、佳林國中、崇林國
中、南勢國中自由學區)
二、泰山區大科里(7-8鄰)(崇
林國中、泰山國中自由學
區)","新北市114
年轄里編組
調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.29","25"
"115","國中","林口區","佳林國中","東林、菁湖、中湖、
湖北、林口、湖南(1-9、
24-29、34-42鄰)、瑞平
(1-4鄰)、太平(1-5鄰)、
西林(1-14、18-20、26、
28-32鄰)等里","一、瑞平里(5-10鄰)(佳林國
中、八里國中自由學區)
二、太平里(6-15鄰)(林口國
中、八里國中、佳林國中自
由學區)
三、湖南(30鄰)、西林(34-35
鄰)等里(林口國中、佳林國
中自由學區)
四、下福、嘉寶、頂福等里(林
口國中、佳林國中、崇林國
中、南勢國中自由學區)","新北市114
年轄里編組
調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.29","25"
"115","國中","林口區","南勢國中","南勢里(1-21、32-40鄰)","下福、嘉寶、頂福等里(林口國
中、佳林國中、崇林國中、南勢
國中自由學區)","新北市114
年轄里編組
調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.29","25"
"115","國中","板橋區","光復高中國中部","港嘴、振義、振興、
光復、埔墘、富貴、
長壽、居仁、福壽等里","一、九如、正泰等里(海山高中國
中部、光復高中國中部自由學
區)
二、龍翠、福翠等里(光復高中國
中部、江翠國中自由學區)
三、中和區中原里(5-14、18-20
鄰)(光復高中國中部、積穗國
中自由學區)
四、雙玉里(海山高中國中部、光
復高中國中部、中山國中自由
學區)
五、中和區各里","因新北市114
年轄里編組
調整案而調
整之學區自
115年7月1
日後實施。","26"
"115","國中","板橋區","江翠國中","嵐翠、文聖、華翠、
莒光、松翠、聯翠、
文化、江翠、純翠、
溪頭、柏翠、青翠、
懷翠、忠翠、松柏、
文翠等里","一、龍翠、福翠等里(光復高中國
中部、江翠國中自由學區)
二、華江、莊敬、埤墘、永安等
里(中山國中、江翠國中自由
學區)
三、中山國中基本學區各里","因新北市114
年轄里編組
調整案而調
整之學區自
115年7月1
日後實施。","26"
"115","國中","淡水區","正德國中","新市(1-10、16-23鄰)、
新崁(15-21鄰)、崁頂(4-
17鄰)、埤島、忠寮、
北投、水源、水碓、
正德、北新、忠山、
中和、義山、蕃薯、
賢孝、屯山、興仁、新義
(9-14鄰)、新興(1-3鄰、
5鄰新興街84-90號15樓
雙號除外、8鄰)、新春(6-
10、14-15鄰)、學府(16-
18鄰)、中興(6-7鄰)等里","興華、店子等里(三芝國中、正德
國中自由學區)","一、沙崙里
(8鄰)為113
年9月1日
(含)以前出
生者(即125
學年度以前
就讀者)，為
淡水國中、
正德國中自
由學區，自
126學年度起
回復為淡水
國中基本學
區。
二、因應
115年7月1
日前實施之
新北市114
年轄里編組
調整案，至
117學年度調
整過渡期
間，崁頂里3
鄰公司田溪
以南區域劃
入新春里13
鄰學生仍可
就讀正德國
中。","27"
"115","國中","淡水區","正德國中(賢孝校區)","新市(1-10、16-23鄰)、
新崁(15-21鄰)、崁頂(4-
17鄰)、埤島、忠寮、
北投、水源、水碓、
正德、北新、忠山、
中和、義山、蕃薯、
賢孝、屯山、興仁、新義
(9-14鄰)、新興(1-3鄰、
5鄰新興街84-90號15樓
雙號除外、8鄰)、新春(6-
10、14-15鄰)、學府(16-
18鄰)、中興(6-7鄰)等里","興華、店子等里(三芝國中、正德
國中自由學區)","一、賢孝校
區如有額滿
時，仍以設
籍義山、興
仁、賢孝、
屯山、蕃
薯、中和6
里學生優先
入學
二、因新北
市114年轄
里編組調整
案而調整之
學區自115
年7月1日
後實施。","27"
"115","國中","淡水區","淡水國中","新市(11-15鄰)、新崁(1-
14鄰)、崁頂(1-3鄰)、
樹興、油車、沙崙、
大庄、永吉、協元、
新生、民安、文化、
新民、長庚、清文、
草東、學府(除16-18
鄰)、新義(1-8鄰)、新興
(4鄰、5鄰新興街84-90
號15樓雙號、6-7、9
鄰)、新春(1-5、11-13
鄰)、中興(除6-7鄰)等里","竿蓁、鄧公、幸福、坪頂等里(竹
圍高中國部、淡水國中自由學區)","一、沙崙里
(8鄰)為113
年9月1日
(含)以前出
生者(即125
學年度以前
就讀者)，為
淡水國中、
正德國中自
由學區，自
126學年度起
回復為淡水
國中基本學
區。
二、因應
115年7月1
日前實施之
新北市114
年轄里編組
調整案，至
117學年度調
整過渡期
間，崁頂里3
鄰公司田溪
以南區域劃
入新春里13
鄰學生仍可
就讀正德國
中。","28"
"115","國中","林口區","林口國中","西林(15-17、21-25、27、
33、36-37鄰)、
仁愛(13-28鄰)、
文湖(1-12、19-27鄰)、
頭湖(1-10鄰)、
力行(1-3鄰)、
東勢(40-42鄰)等里","四、太平里(6-15鄰)(林口國
中、八里國中、佳林國中自
由學區)
五、頭湖(11鄰)、西林(34-35
鄰)等里(林口國中、佳林國
中自由學區)
六、下福、嘉寶、頂福等里(林
口國中、佳林國中、崇林國
中、南勢國中自由學區)","因新北市114
年轄里編組
調整案而調
整之學區自
115年7月1
日後實施。","29"
"115","國中","林口區","崇林國中","麗林、麗園、
東勢(1-39鄰)、
力行(4-8鄰)、
新林(17-23鄰)、
仁愛(1-12、29-30鄰)等里","三、下福、嘉寶、頂福等里(林
口國中、佳林國中、崇林國
中、南勢國中自由學區)
四、泰山區大科里(7-8鄰)(崇
林國中、泰山國中自由學
區)","因新北市114
年轄里編組
調整案而調
整之學區自
115年7月1
日後實施。","29"
"115","國中","林口區","佳林國中","東林、菁湖、中湖、
湖北、林口、湖南、
頭湖(12-13鄰)、
文湖(13-18、28-30鄰)、
瑞平(1-4鄰)、
太平(1-5鄰)、
西林(1-14、18-20、26、
28-32鄰)等里","五、瑞平里(5-10鄰)(佳林國
中、八里國中自由學區)
六、太平里(6-15鄰)(林口國
中、八里國中、佳林國中自
由學區)
七、頭湖(11鄰)、西林(34-35
鄰)等里(林口國中、佳林國
中自由學區)
八、下福、嘉寶、頂福等里(林
口國中、佳林國中、崇林國
中、南勢國中自由學區)","因新北市114
年轄里編組
調整案而調
整之學區自
115年7月1
日後實施。","29"
"115","國中","林口區","南勢國中","南勢、新林(1-16鄰)、
力行(9-25鄰)等里","下福、嘉寶、頂福等里(林口國
中、佳林國中、崇林國中、南勢
國中自由學區)","因新北市114
年轄里編組
調整案而調
整之學區自
115年7月1
日後實施。","29"
