"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國中","樹林區","育林國中","坡內、樹西、育英、
樹人、樹興、樹南、
東昇(1-8、17-28鄰)
等里","樹德、樹福等里(樹林高中國中
部、育林國中自由學區)","","6"
"115","國中","樹林區","柑園國中","柑園(1-7、9-12鄰)、
北園、西園、東園等里","一、樂山、山佳、中山等里(柑園
國中、樹林高中國中部自由
學區)
二、南園里(1、3-4、7鄰)(桃子
腳國中小國中部、柑園國中
自由學區)","","6"
"115","國中","樹林區","桃子腳國中小國中部","南園(2、5-6、8-52鄰)、
柑園(8、13-37鄰)、
三峽區龍學(15鄰)等里","一、南園里(1、3-4、7鄰)
(桃子腳國中小國中部、柑園
國中自由學區)
二、三峽區龍恩、龍埔(36鄰)等里
(三峽國中、桃子腳國民中小
國中部自由學區)
三、三峽區龍學里(1-14、25、27-
28、30-31鄰)(三峽國中、桃
子腳國中小國中部、北大高中
國中部自由學區)","","6"
"115","國中","樹林區","三多國中","三興、三福、三龍、
三多、圳生、獇寮、
金寮、光興等里","圳安、圳民、潭底(1-13鄰、33
鄰)等里(三多國中、溪崑國中自
由學區)","","6"
"115","國中","鶯歌區","鶯歌國中","建德、北鶯、西鶯、
南鶯、中鶯、建國、
永昌、同慶、中湖(1-3、
26-27鄰)等里","一、尖山(2、13-14鄰)、東鶯、
南靖(1鄰)等里(鶯歌國中、
尖山國中自由學區)
二、中湖(4-16鄰)、東湖、永吉
等里(鶯歌國中、鳳鳴國中
自由學區)","","7"
"115","國中","鶯歌區","尖山國中","南靖(2-8、12-15、17-19
鄰)、尖山(1、3-12、15-
16鄰)、二橋、二甲等里","一、尖山(2、13-14鄰)、東鶯、
南靖(1鄰)等里(鶯歌國中、
尖山國中自由學區)
二、南靖里(9-11、16、20
鄰)(尖山國中、三峽國中自
由學區)","","7"
"115","國中","鶯歌區","鳳鳴國中","中湖(17-25鄰)、大湖、
鳳鳴、鳳福、鳳祥等里","一、中湖(4-16鄰)、東湖、永吉
等里(鶯歌國中、鳳鳴國中
自由學區)
二、桃園市八德區大發里(6鄰福
德1路177巷、7至8鄰、
19至21鄰)(鳳鳴國中、桃
園市大成國中自由學區)
三、桃園市八德區大明、大仁等
里(鳯鳴國中、桃園市八德
區福豐國中自由學區)","","7"
"115","國中","三峽區","三峽國中","永舘、龍埔(1-35鄰)、
秀川、鳶山、三峽等里","一、龍恩、龍埔(36鄰)等里(桃
子腳國中小國中部、三峽國
中自由學區)
二、龍學里(1-14、25、27-28、
30-31鄰)(三峽國中、桃子
腳國中小國中部、北大高中
國中部自由學區)
三、弘道、八張、中埔、溪東、
大埔(1-5鄰)、溪南、溪
北、成福、竹崙、安坑等里
(三峽國中、明德高中國中
部、安溪國中自由學區)
四、鶯歌區南靖里(9-11、16、
20鄰)(尖山國中、三峽國中
自由學區)","","8"
"115","國中","三峽區","樹林區桃子腳國中小國中部","龍學里(15鄰)、樹林區南
園(2、5-6、8-52鄰)、
柑園(8、13-37鄰)等里","一、龍恩、龍埔(36鄰)等里(三
峽國中、桃子腳國民中小國
中部自由學區)
二、龍學里(1-14、25、27-28、
30-31鄰)(三峽國中、桃子腳
國中小國中部、北大高中國
中部自由學區)
三、樹林區南園里(1、3-4、7
鄰)(桃子腳國中小國中部、
柑園國中自由學區)","","8"
"115","國中","三峽區","明德高中國中部","大埔(6-22鄰)、金圳、
五寮、插角、有木等里","一、弘道、八張、中埔、溪東、
大埔(1-5鄰)、溪南、溪北、
成福、竹崙、安坑等里(三峽
國中、明德高中國中部、安
溪國中自由學區)
二、嘉添、添福、二鬮等里(明德
高中國中部、安溪國中自由
學區)","","8"
"115","國中","三峽區","安溪國中","礁溪、介壽、安溪、中正
等里","一、弘道、八張、中埔、溪東、
大埔(1-5鄰)、溪南、溪北、
成福、竹崙、安坑等里(三峽
國中、明德高中國中部、安
溪國中自由學區)
二、嘉添、添福、二鬮等里(明德
高中國中部、安溪國中自由
學區)","","9"
"115","國中","三峽區","北大高中國中部","龍學里(16-24、26、29、
32-43、45鄰)","龍學里(1-14、25、27-28、30-
31鄰)(三峽國中、桃子腳國中小
國中部、北大高中國中部自由學
區)","","9"
"115","國中","中和區","中和國中","橫路、內南、外南、
壽南、福南、華新、
華南、東南、忠孝、
崇南、興南、頂南、
正南、景南、景本、
景平、景新、景福、
吉興、秀峰、秀士、
秀山、秀水、秀成、
秀義、秀福、秀仁、
秀明、秀景等里","一、中興、和興、復興等里(錦
和高中國中部、中和國中自
由學區)
二、景安里(中和國中、漳和國
中自由學區)
三、新店區新和、永平、永安等
里(中和國中、安康高中國
中部自由學區)","一、本學年
度入學方案:
在保障永和
區學生入學
權益前提
下，俟永和
區學生皆完
成入學報到
手續後，若
永和國中及
福和國中尚
有缺額，則
同意讓設籍
秀山、秀
水、秀成、
秀義、秀
福、秀仁、
秀明、秀景
(第2-24、
26-34、36-
43鄰)等8
里之學生可
選擇入學永
和國中及福
和國中。
二、中和區
各里可就讀
本市光復高
中國中部","10"
